ticker,marketCap,priceToBook
A,32662323200,4.7258143
AAPL,3761492983808,42.667553
ABBV,369388322816,-112.88648
ABNB,74909270016,9.174008
ABT,178755452928,3.426944
ACGL,34465832960,1.479861
ACN,123905556480,3.9661558
ADBE,99023159296,8.62642
ADI,155414904832,4.5998235
ADM,35578314752,1.5589105
ADP,82511585280,12.859934
ADSK,50472960000,16.575924
AEE,30871089152,2.3034403
AEP,72119992320,2.3046324
AES,10196924416,2.5065732
AFL,57904107520,1.9431889
AIG,40694824960,0.98664325
AIZ,10930703360,1.8509159
AJG,55947530240,2.3980913
AKAM,17096797184,3.430731
ALB,20994476032,2.8724656
ALGN,12240550912,3.0067503
ALL,53731704832,1.8814921
ALLE,12151682048,5.8718724
AMAT,276549238784,12.73415
AMCR,18449483776,1.5855305
AMD,354614378496,5.627425
AME,50002690048,4.7039175
AMGN,187563196416,21.652872
AMP,40315506688,6.0471854
AMT,81331109888,22.179241
AMZN,2251864408064,5.476166
ANET,159526240256,12.867445
AON,69454184448,7.4116383
AOS,8898956288,4.7983
APA,14850693120,2.4354074
APD,65360666624,4.241071
APH,157339516928,11.705532
APO,62128435200,2.8243492
APP,130575671296,61.231377
APTV,15317399552,1.4092937
ARE,7491774976,0.47655794
ARES,33896073216,8.074891
ATO,31262996480,2.188774
AVB,23507593216,2.0005062
AVGO,1491367493632,18.651052
AVY,13188963328,5.8793073
AWK,26975993856,2.4879332
AXON,33188962304,10.211498
AXP,206107787264,6.1517334
AZO,56339542016,-19.311813
BA,163628466176,29.98992
BAC,354384576512,1.2845659
BALL,15961198592,2.9356766
BAX,8611092480,1.3995637
BBY,13515014144,4.5502644
BDX,55978213376,1.740193
BEN,12200542208,1.0026996
BF-B,12270321664,3.0059557
BG,25043945472,1.573878
BIIB,26026156032,1.4259639
BK,85167243264,2.129184
BKNG,135198621696,-23.982422
BKR,59882311680,3.1635754
BLDR,8751073280,2.010316
BLK,150340222976,2.6818569
BMY,121687425024,6.5689406
BR,18788368384,6.5227785
BRK-B,1029582356480,0.00095725973
BRO,22450700288,1.7661078
BSX,93361520640,3.8443182
BX,138176724992,10.217824
BXP,9168010240,1.5949974
C,201609019392,1.0476701
CAG,7519968256,0.92123777
CAH,50369392640,-17.516367
CARR,46564864000,3.3745227
CAT,335644295168,15.654014
CB,128410255360,1.7409909
CBOE,30348400640,5.905175
CBRE,40651202560,4.47957
CCI,36970049536,-22.55387
CCL,35514978304,2.7250502
CDNS,76952379392,13.838439
CDW,15884929024,6.0580935
CEG,98841231360,5.8701262
CF,19972335616,4.125115
CFG,26194364416,1.0815364
CHD,21993850880,5.4879127
CHRW,19909320704,10.7700205
CHTR,27832348672,1.733674
CI,72129314816,1.7054791
CIEN,63341678592,22.68173
CINF,24662253568,1.5471691
CL,68307980288,1270.7462
CLX,12337094656,-97.81431
CMCSA,101773975552,1.0388306
CME,110696374272,3.8123024
CMG,43846737920,15.281105
CMI,75946786816,6.147102
CMS,24202377216,2.6993234
CNC,17266132992,0.86531115
CNP,28593475584,2.5586839
COF,113141792768,1.0509168
COHR,48400318464,5.6661253
COIN,46235492352,3.10436
COO,13691176960,1.6368471
COP,159539724288,2.479719
COR,63183564800,33.10907
COST,450509701120,14.03468
CPAY,20521496576,5.1632547
CPB,6562204672,1.6376488
CPRT,32331792384,3.2867548
CPT,10552243200,2.4566622
CRH,69932367872,2.914566
CRL,8560222208,2.7043545
CRM,175387656192,2.9402153
CRWD,101222457344,22.835564
CSCO,312215470080,6.538684
CSGP,16931720192,2.003209
